time,seconds_elapsed,z,y,x
1621953361220858600,-299.68214135742187,-1.4845119968026876,1.9167834698826074,1.3595169591292737
1621953361230851600,-299.6721484375,-1.504307268988341,1.7716086907505988,1.39652596257478
1621953361240844800,-299.6621552734375,-0.9431691774986684,-0.38873277560472486,1.932829326406866
1621953361250837800,-299.6521623535156,-0.6714857412599027,-1.7936340600758789,2.1392739822767672
1621953361260830700,-299.6421691894531,0.6823949655480682,-2.490113518947363,1.9039942770667373
1621953361270823700,-299.63217626953127,-0.680482848316431,-2.960215833249688,0.8729447176717221
1621953361280812800,-299.6221872558594,-2.3006768426321447,-1.9947896696269511,0.08342868145080283
1621953361290805800,-299.6121943359375,-2.3037013050198554,1.7885732695549725,0.152966894312948
1621953361300799000,-299.6022009277344,-1.8949169443808496,5.62450401584208,-0.0446038059560582
1621953361310791700,-299.59220825195314,-1.8830816912889479,6.963288275805115,-0.6701020318165422
1621953361320785000,-299.58221508789063,-0.91121380418092,5.928401037943363,-1.0436928409341721
1621953361330777900,-299.57222216796873,0.26265257304310796,3.9446196690648794,-1.1814083170361815
1621953361340770800,-299.5622292480469,0.49760889151766896,2.0692554202854634,-1.4720181336715816
1621953361350763800,-299.552236328125,0.10427870512008666,0.5537456431508064,-1.8685126293189822
1621953361360757000,-299.5422429199219,-0.3540989768579602,-0.11797346847355365,-2.0942387626335024
1621953361370749700,-299.53225024414064,-0.538041001279652,-0.36342999204397197,-1.7676368645101785
1621953361380743000,-299.52225708007813,-0.4758700840488076,-0.424727049049735,-0.6937881739608943
1621953361390736000,-299.51226416015623,-0.6047817106440663,0.09753858321011066,-0.0862942634823732
1621953361400728600,-299.502271484375,-1.3280121060580015,0.21575404374599455,-0.19203356094062327
1621953361410721800,-299.4922783203125,-1.8068088912084697,1.8110943134427069,-1.0091133296579122
1621953361420714800,-299.48228515625,-1.6944243287831544,3.3130215554267166,-2.0649119842536745
1621953361430708000,-299.4722919921875,-1.4502598908498883,2.1040058311492205,-2.229939464846998
1621953361440700700,-299.46229931640624,-1.0475637640833855,0.020064298385381697,-1.5272686039894818
1621953361450694000,-299.45230615234374,-0.11635025118589401,-0.539169420787692,-0.7504942499145865
1621953361460686800,-299.4423132324219,0.7279828506380319,-1.0407114139705895,-0.04293810123354196
1621953361470679800,-299.4323203125,0.9113397686481475,-1.8124860600620507,0.7974334034830332
1621953361480672800,-299.4223271484375,1.0265060707464813,-1.6523855144768953,1.782646071463078
1621953361490666000,-299.412333984375,1.0394897632211446,-0.891810307791829,2.7394758177846668
1621953361500658700,-299.40234130859375,0.1562567296385765,-0.5131693026125431,3.1088071428269144
1621953361510652000,-299.39234814453124,-0.7404924958601593,-0.7783966945797205,1.9543270185962318
1621953361520644900,-299.3823552246094,-0.6825710527673363,-1.0696037464559078,0.6532436898656189
1621953361530637800,-299.3723620605469,-0.17234657143503426,-1.1683078663140534,-0.05258848456703126
1621953361540630800,-299.362369140625,0.19728899725079535,-1.0444248815357684,-0.026337825696915385
1621953361550624000,-299.3523759765625,0.7191352350547909,-0.9418506422460079,0.12445771592631935
1621953361560616700,-299.34238330078125,1.2326187181830406,-1.053788337686658,0.14856383704841136
1621953361570610000,-299.33239013671874,1.522995456714928,-1.1846522673934698,0.06339300637170672
1621953361580603000,-299.3223972167969,1.746143702365458,-1.3831284286022185,-0.1556242769539356
1621953361590595800,-299.3124040527344,1.6012237747773528,-1.523862594938278,-0.5246412753500044
1621953361600588800,-299.3024111328125,1.0354422413960098,-1.509940452569723,-0.9686062549635768
1621953361610581800,-299.29241821289065,0.21858049934357404,-1.1438257514864205,-1.3252027477256954
1621953361620574700,-299.28242529296875,-0.7493535554468631,-0.6118932962149382,-1.5923033862188458
1621953361630567700,-299.27243237304685,-1.4887863131210206,-0.10270224958360194,-1.5437256716631351
1621953361640561000,-299.26243920898435,-1.7081620544955134,0.35871757656931874,-1.3021448204822839
1621953361650553600,-299.2524462890625,-1.5451343694172799,0.6038941141545772,-1.0211724546335637
1621953361660546800,-299.242453125,-1.2561457242429255,0.6231184545844793,-0.8025266349688172
1621953361670539800,-299.2324602050781,-0.9979743882670998,0.5839484737128019,-0.7751635578773916
1621953361680533000,-299.22246704101565,-0.7727128037244081,0.5379401712536811,-0.8633646961607039
1621953361690525700,-299.21247436523436,-0.5661795927882194,0.46975452377796173,-0.9512428860999643
1621953361700519000,-299.20248120117185,-0.3962824603319168,0.3579565290689468,-0.9873252762198448
1621953361710511900,-299.1924880371094,-0.266682851472497,0.28128888445198535,-0.9463979302868246
1621953361720504800,-299.1824951171875,-0.15588555823862552,0.25046821425259114,-0.8867349042236804
1621953361730498800,-299.1725012207031,0.08100552769079804,0.2551034728378057,-0.920659239526838
1621953361740491800,-299.16250830078127,0.4676071364857256,0.36929099303185936,-1.1333331451751292
1621953361750484700,-299.15251538085937,-0.05349076716899871,0.3534720771312713,-0.5182204485222697
1621953361760477700,-299.14252221679686,-0.545055556216836,0.3407248237609863,0.05367839869558811
1621953361770471000,-299.13252905273436,-0.7030313647329807,0.34852059220373627,0.3302686039373278
1621953361780463900,-299.1225361328125,-0.5892869121313095,0.3335094855546951,0.49398836293295023
1621953361790456800,-299.1125432128906,-0.3884399301379919,0.32222704403996466,0.6068482877850532
1621953361800449800,-299.1025502929688,-0.2798631624978036,0.3106003191322088,0.7477158712424338
1621953361810443000,-299.0925568847656,-0.15955935138054192,0.31477672803401946,0.958698901194334
1621953361820435700,-299.08256420898437,-0.014790157374739646,0.17838555933833122,1.087997042889148
1621953361830429000,-299.07257104492186,0.0050468350607901806,-0.043237668702006335,1.0695637067064643
1621953361840422000,-299.062578125,0.07448566093537956,-0.15399930610060691,0.9247909325040876
1621953361850414800,-299.0525852050781,0.14473057902846484,-0.3304682181626558,0.8174658454254269
1621953361860407800,-299.0425922851563,0.23866726528909055,-0.6114414607942104,0.7679520190633833
1621953361870401000,-299.0325988769531,0.33887188937067986,-0.8237298742562532,0.7424510825820266
1621953361880393700,-299.02260620117187,0.41130821656081823,-0.9747124628841877,0.6911604558058083
1621953361890387000,-299.01261303710936,0.28036884699761866,-0.9854659120887518,0.6925615547753871
1621953361900380000,-299.0026201171875,0.0801350649992004,-0.7745844428151846,0.6812478413395583
1621953361910372600,-298.9926274414062,-0.05329431301513687,-0.444516622146964,0.5828470883421599
1621953361920365800,-298.9826342773438,-0.09600534576084464,-0.19307517894804477,0.44671150184273717
1621953361930358800,-298.97264111328127,-0.0695797139163129,-0.12938099767267702,0.2977303161650896
1621953361940351700,-298.96264819335937,-0.05947681930866092,-0.2771130600720644,0.15918825304582715
1621953361950344700,-298.9526552734375,-0.0897784523363225,-0.5231944375425577,0.06023088907897472
1621953361960338000,-298.942662109375,-0.1121112984418869,-0.6558458351880312,0.014545827224850654
1621953361970330600,-298.93266943359373,-0.1546662455767393,-0.6921995895951986,0.0049663902357220645
1621953361980323800,-298.9226762695312,-0.21068857704997063,-0.6042500879853964,0.02396247486770153
1621953361990316800,-298.9126831054688,-0.2102005012720823,-0.4204629618644714,0.010877367845177649
1621953362000309800,-298.9026901855469,-0.2316425177514553,-0.259532395195961,-0.01615852311849594
1621953362010302700,-298.892697265625,-0.2557283450041897,-0.1309860947817564,0.027478812425583598
1621953362020296000,-298.8827041015625,-0.2714987273216247,-0.013459201031923293,0.09178162711858749
1621953362030288600,-298.87271142578123,-0.3318599647819996,0.04303659317195415,0.12150441907867789
1621953362040281900,-298.8627182617187,-0.3865782279193401,0.031930092746019365,0.20177856375500558
1621953362050274800,-298.8527250976563,-0.45064767224788665,-0.02384381692409515,0.2899609242726117
1621953362060268000,-298.84273193359377,-0.5200211047360673,-0.0334621246188879,0.34363691181540484
1621953362070260700,-298.8327392578125,-0.5613397515416145,-0.007055763730406761,0.4165162700653076
1621953362080254000,-298.82274609375,-0.5334791001915932,0.08010112619698047,0.571997704482451
1621953362090247000,-298.8127531738281,-0.41411980338282883,0.31520401353538036,0.672125646598637
1621953362100240000,-298.8027600097656,-0.2208371191639453,0.6113502753794193,0.7568040175832808
1621953362110232800,-298.7927670898438,-0.10384762022644281,0.8142132733702659,0.7948970168732106
1621953362120225800,-298.7827741699219,-0.2080697728537023,0.8993103081583976,0.8333397063836455
1621953362130218800,-298.77278125,-0.49007718083858487,0.8170686628013849,0.8902003883771598
1621953362140211700,-298.76278833007814,-0.7657166612267494,0.7144441546291113,0.88792002235502
1621953362150205000,-298.75279516601563,-0.9753611360512673,0.7036351758450269,0.8755588456928729
1621953362160197600,-298.74280224609373,-1.0681975329197944,0.6372253058701753,0.8466131755851208
1621953362170190800,-298.7328090820312,-1.0406316267326474,0.5940653785794973,0.8347675472296774
1621953362180183800,-298.7228161621094,-0.9802959621049463,0.6104606330633163,0.821757112878561
1621953362190177800,-298.712822265625,-0.9539724571943282,0.6300497151523828,0.8054695565529167
1621953362200170800,-298.70282934570315,-0.968815659930557,0.6304957053542137,0.7949306268818676
